,Country/Territory,UN region,IMF,IMF YEAR,World Bank,WORLD_BANK YEAR,United Nations,UNITED_NATION YEAR 
0,World,—,105568.78,2023,100562.01,2022,96698.0,2021
1,United States,Americas,26854.6,2023,25462.7,2022,23315.08,2021
2,China,Asia,19373.59,[n 1]2023,17963.17,[n 3]2022,17734.13,[n 1]2021
3,Japan,Asia,4409.74,2023,4231.14,2022,4940.88,2021
4,Germany,Europe,4308.85,2023,4072.19,2022,4259.94,2021
5,India,Asia,3736.88,2023,3385.09,2022,3201.47,2021
6,United Kingdom,Europe,3158.94,2023,3070.67,2022,3131.38,2021
7,France,Europe,2923.49,2023,2782.9,2022,2957.88,2021
8,Italy,Europe,2169.74,2023,2010.43,2022,2107.7,2021
9,Canada,Americas,2089.67,2023,2139.84,2022,1988.34,2021
10,Brazil,Americas,2081.24,2023,1920.1,2022,1608.98,2021
11,Russia,Europe,2062.65,2023,2240.42,2022,1778.78,2021
12,South Korea,Asia,1721.91,2023,1665.25,2022,1810.97,2021
13,Australia,Oceania,1707.55,2023,1675.42,2022,1734.53,2021
14,Mexico,Americas,1663.16,2023,1414.19,2022,1272.84,2021
15,Spain,Europe,1492.43,2023,1397.51,2022,1427.38,2021
16,Indonesia,Asia,1391.78,2023,1319.1,2022,1186.09,2021
17,Netherlands,Europe,1080.88,2023,991.12,2022,1012.85,2021
18,Saudi Arabia,Asia,1061.9,2023,1108.15,2022,833.54,2021
19,Turkey,Asia,1029.3,2023,905.99,2022,819.03,2021
20,Switzerland,Europe,869.6,2023,807.71,2022,812.87,2021
21,Poland,Europe,748.89,2023,688.18,2022,679.44,2021
22,Argentina,Americas,641.1,2023,632.77,2022,487.23,2021
23,Belgium,Europe,624.25,2023,578.6,2022,594.1,2021
24,Sweden,Europe,599.05,2023,585.94,2022,635.66,2021
25,Ireland,Europe,594.1,2023,529.24,2022,504.18,2021
26,Thailand,Asia,574.23,2023,495.34,2022,505.98,2021
27,Norway,Europe,554.1,2023,579.27,2022,482.18,2021
28,Israel,Asia,539.22,2023,522.03,2022,481.59,2021
29,Singapore,Asia,515.55,2023,466.79,2022,396.99,2021
30,Austria,Europe,515.2,2023,471.4,2022,480.37,2021
31,Nigeria,Africa,506.6,2023,477.39,2022,430.92,2021
32,United Arab Emirates,Asia,498.98,2023,507.54,2022,405.47,2021
33,Vietnam,Asia,449.09,2023,408.8,2022,366.14,2021
34,Malaysia,Asia,447.03,2023,406.31,2022,372.7,2021
35,Philippines,Asia,440.9,2023,404.28,2022,394.09,2021
36,Bangladesh,Asia,420.52,2023,460.2,2022,414.91,2021
37,Denmark,Europe,405.63,2023,395.4,2022,398.3,2021
38,South Africa,Africa,399.02,2023,405.87,2022,419.02,2021
39,Hong Kong,Asia,382.85,[n 5]2023,359.84,2022,369.17,2021
40,Egypt,Africa,378.11,2023,476.75,2022,425.91,2021
41,Iran,Asia,367.97,2023,388.54,2022,594.89,2021
42,Chile,Americas,358.56,2023,301.02,2022,317.06,2021
43,Romania,Europe,348.9,2023,301.26,2022,284.09,2021
44,Colombia,Americas,334.69,2023,343.94,2022,314.46,2021
45,Czech Republic,Europe,330.48,2023,290.92,2022,281.78,2021
46,Finland,Europe,301.67,2023,280.83,2022,297.3,2021
47,Peru,Americas,268.24,2023,242.63,2022,223.25,2021
48,Iraq,Asia,267.89,2023,264.18,2022,204.0,2021
49,Portugal,Europe,267.72,2023,251.94,2022,253.66,2021
